State,District,Latitude,Longitude,District code,State name,District name,Male,Female,Population,Literate,Male_Literate,Female_Literate,Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,No. of females per 1000 males,Literacy_ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,ANDHRA PRADESH,Adilabad,1369597,1371642,2741239,1483347,856350,626997,1323667,484912,84661,2399901,275970,15422,1377,25510,617,1346992,1030640,1536378,704551,422522,1001.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,ANDHRA PRADESH,Anantapur,2064495,2016653,4081148,2310960,1338474,972486,2036166,879537,105343,3599372,443456,20463,932,341,1417,2426929,1369069,2189396,1104565,739612,977.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,ANDHRA PRADESH,Chittoor,2090204,2083860,4174064,2667878,1484794,1183084,1933357,748093,57269,3737588,397870,24129,867,253,1322,3062955,1170993,2148179,1159053,807430,997.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,ANDHRA PRADESH,East Godavari,2569688,2584608,5154296,3288577,1716933,1571644,2093681,1122046,57853,4983330,77777,77825,738,413,4149,3518619,1524603,2724328,1478954,948122,1006.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,ANDHRA PRADESH,Guntur,2440521,2447292,4887813,2960441,1634726,1325715,2381624,1227956,47436,4217597,559770,89763,764,323,3282,3209266,1474349,2583462,1371811,928462,1003.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,ANDHRA PRADESH,Hyderabad,2018575,1924748,3943323,2892155,1542688,1349467,1413297,23029,46157,2046051,1713405,87522,11446,1268,19560,3445721,556902,2249130,1068243,542669,954.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,ANDHRA PRADESH,Karimnagar,1880800,1895469,3776269,2206829,1257238,949591,1876768,756859,168340,3491139,244723,24979,2086,332,312,2325560,1280393,1940234,1031735,728494,1008.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,ANDHRA PRADESH,Khammam,1390988,1406382,2797370,1630234,901640,728594,1410062,804537,19799,2595321,158887,33463,655,217,459,1551232,875272,1530602,774583,477955,1011.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,ANDHRA PRADESH,Krishna,2267375,2250023,4517398,3009718,1598959,1410759,2048880,1006976,48444,4023678,307043,145598,1393,863,6320,3169428,1352499,2340943,1284630,833959,992.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,ANDHRA PRADESH,Kurnool,2039227,2014236,4053463,2127161,1246369,880792,2029425,1037302,60791,3328380,670737,33165,737,255,2235,2220285,1517933,2368684,1053618,609027,988.0,52.0
